Amount,Date,ScenarioName,DepartmentGroupName,ParentOrganizationKey,OrganizationName,CurrencyKey
22080.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
20200.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
2000.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
2208.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
1546.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
1800.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
378.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
344.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
200.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
174.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
132.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
38.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
54.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
70.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
300.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
250.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
114.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
280.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
297.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
535.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
480.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
200.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
153.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
586.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
550.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
363.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
35.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
40.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
123.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
103.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
98.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
540.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
480.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northeast Division,100
201.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
309.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
-247.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
412.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
214.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
12.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northeast Division,100
23197.0,2005-07-01 00:00:00,Actual,Executive General and Administration,14.0,Northeast Division,100
3059.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
3200.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
2600.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
2294.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
33968.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
27200.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
3800.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
3186.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
16320.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
14300.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
1600.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
1632.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
979.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
1100.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
2400.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
1912.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
220.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
280.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
200.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
200.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
104.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
76.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
22.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
32.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
50.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
200.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
153.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
151.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
220.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
96.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
486.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
750.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
346.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
113.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
449.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
278.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
280.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
29.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
102.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
90.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
80.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
92.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
82.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
80.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
360.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
179.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
276.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
-221.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
368.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
3642.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
8.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
98.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
45000.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
76475.0,2005-07-01 00:00:00,Actual,Research and Development,14.0,Northeast Division,100
91800.0,2005-07-01 00:00:00,Budget,Research and Development,14.0,Northeast Division,100
76978.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
124391.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
3556.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
2487.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
19218.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
12687.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
23136.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
13720.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
43720.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
13445.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
59754.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
11887.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
4908.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
23894.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
20246.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
175368.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
55708.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
29228.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
28238.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
9316.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
42697.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
33491.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
36417.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
55708.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
29546.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
350000.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
-830343.5,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
423790.5,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
-25508.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
5520.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
5000.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
480.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
497.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
331.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
380.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
90.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
81.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
74.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
80.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
40.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
38.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
29.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
8.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
9.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
80.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
57.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
86.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
60.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
71.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
128.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
40.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
39.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
143.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
90.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
89.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
9.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
10.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
25.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
30.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
20.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
24.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
135.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
100.0,2005-07-01 00:00:00,Budget,Sales and Marketing,14.0,Northeast Division,100
48.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
73.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
-58.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
98.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
52.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
3.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
23076.0,2005-07-01 00:00:00,Actual,Sales and Marketing,14.0,Northeast Division,100
43120.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
40900.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
4000.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
5174.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
3449.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
3600.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
850.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
770.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
700.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
750.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
380.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
352.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
264.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
280.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
77.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
99.0,2005-07-01 00:00:00,Actual,Corporate,14.0,Northwest Division,100
110.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
500.0,2005-07-01 00:00:00,Budget,Corporate,14.0,Northwest Division,100
